Country,Category,Product Name,Sales,Quantity
Mexico,Electronics,Nintendo Switch,899.97,3
UK,Home Appliances,Philips Airfryer XXL,399.98,2
Japan,Clothing,Hanes ComfortSoft T-Shirt,99.9,10
United States,Books,Where the Crawdads Sing by Delia Owens,75.96,4
Italy,Beauty Products,Lancome La Vie Est Belle,102.0,1
Japan,Sports,Garmin Edge 530,599.98,2
United States,Electronics,Samsung QLED 4K TV,1199.99,1
Spain,Home Appliances,Eufy RoboVac 11S,659.97,3
China,Clothing,Puma Suede Classic Sneakers,239.96,4
United States,Books,The Great Gatsby by F. Scott Fitzgerald,21.98,2
Germany,Beauty Products,Drunk Elephant C-Firma Day Serum,78.0,1
South Korea,Sports,Nike Metcon 6,389.97,3
Mexico,Electronics,HP Spectre x360 Laptop,1599.99,1
Spain,Home Appliances,De'Longhi Magnifica Espresso Machine,899.99,1
Japan,Clothing,Tommy Hilfiger Polo Shirt,249.95,5
Canada,Books,To Kill a Mockingbird by Harper Lee,59.96,4
France,Beauty Products,Glossier Boy Brow,32.0,2
Japan,Sports,Rogue Fitness Kettlebell,209.97,3
Canada,Electronics,Apple AirPods Pro,499.98,2
Spain,Home Appliances,Dyson Pure Cool Link,499.99,1
Japan,Clothing,Levi's Trucker Jacket,179.98,2
Mexico,Books,The Hobbit by J.R.R. Tolkien,38.97,3
France,Beauty Products,Charlotte Tilbury Magic Cream,100.0,1
South Korea,Sports,Spalding NBA Street Basketball,149.94,6
United States,Electronics,Ring Video Doorbell,99.99,1
France,Home Appliances,LG OLED TV,2599.98,2
South Korea,Clothing,Uniqlo Ultra Light Down Jacket,239.97,3
Mexico,Books,The Catcher in the Rye by J.D. Salinger,55.96,4
UK,Beauty Products,Sunday Riley Good Genes,105.0,1
South Korea,Sports,On Running Cloud Shoes,259.98,2
Canada,Electronics,Logitech MX Master 3 Mouse,199.98,2
France,Home Appliances,Instant Pot Duo Crisp,179.99,1
Japan,Clothing,Adidas Originals Superstar Sneakers,319.96,4
Canada,Books,The Alchemist by Paulo Coelho,44.97,3
France,Beauty Products,Tatcha The Water Cream,68.0,1
Singapore,Sports,Garmin Fenix 6X Pro,999.99,1
United States,Electronics,Bose SoundLink Revolve+ Speaker,899.97,3
Spain,Home Appliances,Vitamix Explorian Blender,349.99,1
China,Clothing,Gap Essential Crewneck T-Shirt,119.94,6
Mexico,Books,The Power of Now by Eckhart Tolle,25.98,2
Italy,Beauty Products,Kiehl's Midnight Recovery Concentrate,82.0,1
Singapore,Sports,Under Armour HOVR Sonic 4 Shoes,219.98,2
United States,Electronics,Canon EOS R5 Camera,3899.99,1
Germany,Home Appliances,Shark IQ Robot Vacuum,699.98,2
Japan,Clothing,H&M Slim Fit Jeans,119.97,3
Canada,Books,The Girl on the Train by Paula Hawkins,43.96,4
UK,Beauty Products,The Ordinary Niacinamide Serum,6.5,1
China,Sports,Bowflex SelectTech 552 Dumbbells,399.99,1
Canada,Electronics,Google Nest Hub Max,459.98,2
France,Home Appliances,Cuisinart Griddler Deluxe,159.99,1
Singapore,Clothing,Old Navy Relaxed-Fit T-Shirt,59.96,4
Canada,Books,Sapiens: A Brief History of Humankind by Yuval Noah Harari,37.98,2
Germany,Beauty Products,Biore UV Aqua Rich Watery Essence Sunscreen,15.0,1
India,Sports,Fitbit Versa 3,689.85,3
Canada,Electronics,Amazon Echo Show 10,249.99,1
Spain,Home Appliances,Breville Smart Grill,599.9,2
Singapore,Clothing,Gap High Rise Skinny Jeans,149.97,3
Mexico,Books,Atomic Habits by James Clear,67.96,4
Italy,Beauty Products,CeraVe Hydrating Facial Cleanser,29.98,2
Japan,Sports,YETI Hopper Flip Portable Cooler,249.99,1
Canada,Electronics,Apple iPad Air,1199.98,2
Spain,Home Appliances,Hamilton Beach FlexBrew Coffee Maker,89.99,1
Singapore,Clothing,Forever 21 Graphic Tee,64.95,5
United States,Books,The Subtle Art of Not Giving a F*ck by Mark Manson,44.97,3
UK,Beauty Products,NARS Radiant Creamy Concealer,30.0,1
Japan,Sports,Yeti Roadie 24 Cooler,199.99,1
United States,Electronics,Sony PlayStation 5,499.99,1
UK,Home Appliances,Dyson Supersonic Hair Dryer,799.98,2
Japan,Clothing,Lululemon Align Leggings,294.0,3
Canada,Books,The Four Agreements by Don Miguel Ruiz,17.98,2
UK,Beauty Products,Fenty Beauty Killawatt Highlighter,36.0,1
South Korea,Sports,Hydro Flask Wide Mouth Water Bottle,159.8,4
Mexico,Electronics,Microsoft Surface Laptop 4,1299.99,1
Italy,Home Appliances,Keurig K-Mini Coffee Maker,159.98,2
Japan,Clothing,Gap Crewneck Sweatshirt,139.96,4
Mexico,Books,Think and Grow Rich by Napoleon Hill,29.97,3
UK,Beauty Products,The Ordinary Hyaluronic Acid Serum,6.8,1
Japan,Sports,Fitbit Inspire 2,199.9,2
Canada,Electronics,Samsung Odyssey G9 Gaming Monitor,1499.99,1
France,Home Appliances,Instant Pot Ultra,139.99,1
South Korea,Clothing,Adidas Essential Track Pants,134.97,3
Mexico,Books,The Power of Habit by Charles Duhigg,23.98,2
Italy,Beauty Products,Clinique Dramatically Different Moisturizing Lotion,29.5,1
India,Sports,YETI Tundra 45 Cooler,299.99,1
Canada,Electronics,Apple AirPods Max,549.0,1
Spain,Home Appliances,Cuisinart Coffee Center,399.9,2
South Korea,Clothing,Levi's Sherpa Trucker Jacket,196.0,2
Canada,Books,The Outsiders by S.E. Hinton,32.97,3
Germany,Beauty Products,Laneige Water Sleeping Mask,25.0,1
South Korea,Sports,Bose SoundSport Wireless Earbuds,299.98,2
Canada,Electronics,Sony WH-1000XM4 Headphones,349.99,1
Italy,Home Appliances,Ninja Foodi Pressure Cooker,399.98,2
South Korea,Clothing,Nike Sportswear Club Fleece Hoodie,164.97,3
Canada,Books,The Night Circus by Erin Morgenstern,33.98,2
UK,Beauty Products,GlamGlow Supermud Clearing Treatment,59.0,1
Singapore,Sports,Garmin Forerunner 245,299.99,1
Mexico,Electronics,Google Pixel 6 Pro,899.99,1
Italy,Home Appliances,Breville Nespresso Creatista Plus,499.95,1
South Korea,Clothing,Under Armour Tech 2.0 T-Shirt,99.96,4
United States,Books,The Art of War by Sun Tzu,23.97,3
UK,Beauty Products,Youth to the People Superfood Antioxidant Cleanser,36.0,1
Singapore,Sports,TriggerPoint GRID Foam Roller,69.98,2
Canada,Electronics,Apple MacBook Air,1199.99,1
France,Home Appliances,Cuisinart Custom 14-Cup Food Processor,199.99,1
India,Clothing,Adidas 3-Stripes Shorts,149.95,5
Mexico,Books,The Hunger Games by Suzanne Collins,35.96,4
UK,Beauty Products,Neutrogena Hydro Boost Water Gel,16.99,1
Singapore,Sports,Yeti Rambler Bottle,149.97,3
Canada,Electronics,Samsung Odyssey G7 Gaming Monitor,699.99,1
Spain,Home Appliances,Instant Pot Duo Evo Plus,279.98,2
Japan,Clothing,Nike Tempo Running Shorts,104.97,3
United States,Books,The Girl with the Dragon Tattoo by Stieg Larsson,19.98,2
UK,Beauty Products,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,29.5,1
South Korea,Sports,Bowflex SelectTech 1090 Adjustable Dumbbells,699.99,1
Mexico,Electronics,Amazon Fire TV Stick 4K,149.97,3
UK,Home Appliances,Crock-Pot 6-Quart Slow Cooker,99.98,2
Singapore,Clothing,Uniqlo Airism Mesh Boxer Briefs,59.6,4
United States,Books,The Sun Also Rises by Ernest Hemingway,35.97,3
UK,Beauty Products,First Aid Beauty Ultra Repair Cream,68.0,2
Singapore,Sports,Oakley Holbrook Sunglasses,146.0,1
Mexico,Electronics,Google Pixelbook Go,649.99,1
Spain,Home Appliances,Dyson V8 Absolute,399.99,1
China,Clothing,Levi's 511 Slim Fit Jeans,179.97,3
United States,Books,The Martian by Andy Weir,25.98,2
Germany,Beauty Products,La Mer Crème de la Mer Moisturizer,190.0,1
Singapore,Sports,Polar Vantage V2,499.95,1
United States,Electronics,Sonos Beam Soundbar,399.0,1
France,Home Appliances,Anova Precision Cooker,398.0,2
South Korea,Clothing,Nike Dri-FIT Training Shorts,139.96,4
Mexico,Books,The Catcher in the Rye by J.D. Salinger,32.97,3
France,Beauty Products,Glossier Cloud Paint,18.0,1
South Korea,Sports,TRX All-in-One Suspension Training System,169.95,1
Canada,Electronics,Logitech G Pro X Wireless Gaming Headset,199.99,1
France,Home Appliances,Breville Smart Coffee Grinder Pro,199.95,1
Singapore,Clothing,Adidas Ultraboost Running Shoes,359.98,2
Mexico,Books,The Road by Cormac McCarthy,23.98,2
Germany,Beauty Products,Tom Ford Black Orchid Perfume,125.0,1
China,Sports,GoPro HERO9 Black,449.99,1
Mexico,Electronics,Apple TV 4K,358.0,2
UK,Home Appliances,Instant Pot Duo Nova,99.95,1
India,Clothing,Gap 1969 Original Fit Jeans,179.97,3
Canada,Books,The Goldfinch by Donna Tartt,29.98,2
France,Beauty Products,Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,52.0,1
Singapore,Sports,Yeti Tundra Haul Portable Wheeled Cooler,399.99,1
Canada,Electronics,Samsung Galaxy Watch 4,299.99,1
UK,Home Appliances,KitchenAid Stand Mixer,379.99,1
China,Clothing,Lululemon Wunder Under High-Rise Leggings,196.0,2
Canada,Books,The Great Alone by Kristin Hannah,50.97,3
Spain,Beauty Products,Caudalie Vinoperfect Radiance Serum,79.0,1
China,Sports,Bose SoundLink Color Bluetooth Speaker II,129.0,1
Mexico,Electronics,Canon EOS Rebel T7i DSLR Camera,749.99,1
France,Home Appliances,Keurig K-Elite Coffee Maker,339.98,2
India,Clothing,Uniqlo Airism Seamless Boxer Briefs,39.6,4
Canada,Books,The Girl with the Dragon Tattoo by Stieg Larsson,32.97,3
UK,Beauty Products,L'Occitane Shea Butter Hand Cream,58.0,2
China,Sports,YETI Tundra 65 Cooler,349.99,1
Canada,Electronics,Apple MacBook Pro 16-inch,2399.0,1
Spain,Home Appliances,iRobot Braava Jet M6,449.99,1
China,Clothing,Champion Reverse Weave Hoodie,149.97,3
Mexico,Books,The Nightingale by Kristin Hannah,25.98,2
France,Beauty Products,Tarte Shape Tape Concealer,27.0,1
China,Sports,Garmin Forerunner 945,599.99,1
Mexico,Electronics,Amazon Echo Dot (4th Gen),199.96,4
UK,Home Appliances,Philips Sonicare DiamondClean Toothbrush,459.98,2
Japan,Clothing,Old Navy Mid-Rise Rockstar Super Skinny Jeans,89.98,2
United States,Books,The Silent Patient by Alex Michaelides,80.97,3
Spain,Beauty Products,The Ordinary Caffeine Solution 5% + EGCG,6.7,1
India,Sports,Fitbit Luxe,299.9,2
United States,Electronics,Google Nest Wifi Router,169.0,1
France,Home Appliances,Anova Precision Oven,599.0,1
South Korea,Clothing,Adidas Originals Trefoil Hoodie,259.96,4
United States,Books,Dune by Frank Herbert,19.98,2
Germany,Beauty Products,Fresh Sugar Lip Treatment,24.0,1
Singapore,Sports,Hydro Flask Standard Mouth Water Bottle,98.85,3
United States,Electronics,Bose QuietComfort 35 II Wireless Headphones,299.0,1
Germany,Home Appliances,Nespresso Vertuo Next Coffee and Espresso Maker,159.99,1
South Korea,Clothing,Nike Air Force 1 Sneakers,270.0,3
United States,Books,The Handmaid's Tale by Margaret Atwood,32.97,3
UK,Beauty Products,Sunday Riley Luna Sleeping Night Oil,55.0,1
China,Sports,Yeti Rambler 20 oz Tumbler,59.98,2
Nigeria,Furniture,Bush Somerset Collection Bookcase,261.96,2
Chile,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3
Argentina,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2
Australia,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775,5
Argentina,Office Supplies,Eldon Fold 'N Roll Cart System,22.368,2
Argentina,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
Egypt,Office Supplies,Newell 322,7.28,4
Chile,Technology,Mitel 5320 IP Phone VoIP phone,907.152,6
Brazil,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
Argentina,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
Chile,Furniture,Chromcraft Rectangular Conference Tables,1706.184,9
Chile,Technology,Konftel 250 Conference phone - Charcoal black,911.424,4
Egypt,Office Supplies,Xerox 1967,15.552,3
Egypt,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976,3
Brazil,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5
New Zealand,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3
Chile,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6
Brazil,Office Supplies,Fellowes Super Stor/Drawer,55.5,2
Nigeria,Office Supplies,Newell 341,8.56,2
Chile,Technology,Cisco SPA 501G IP Phone,213.48,3
Nigeria,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72,4
Egypt,Office Supplies,Newell 318,19.46,7
South Africa,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7
Egypt,Furniture,"Global Deluxe Stacking Chair, Gray",71.372,2
Chile,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63,3
South Africa,Office Supplies,Wilson Jones Active Use Binders,11.648,2
New Zealand,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3
Brazil,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7
Chile,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2
South Africa,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3
Australia,Office Supplies,Poly String Tie Envelopes,3.264,2
Brazil,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6
Nigeria,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6
Australia,Office Supplies,Lumber Crayons,15.76,2
Australia,Office Supplies,Easy-staple paper,29.472,3
New Zealand,Technology,GE 30524EE4,1097.544,7
Chile,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5
Nigeria,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9
Australia,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3
New Zealand,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058,3
Argentina,Technology,Plantronics HL10 Handset Lifter,371.168,4
Australia,Technology,Panasonic Kx-TS550,147.168,4
Nigeria,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88,2
Argentina,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2
Argentina,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2
Argentina,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
New Zealand,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4
South Africa,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3
Chile,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2
Argentina,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6
Nigeria,Office Supplies,Avery 485,75.18,6
Brazil,Furniture,Longer-Life Soft White Bulbs,6.16,2
New Zealand,Furniture,"Global Leather Task Chair, Black",89.99,1
Nigeria,Office Supplies,Advantus Push Pins,15.26,7
Australia,Technology,AT&T CL83451 4-Handset Telephone,1029.95,5
New Zealand,Office Supplies,Home/Office Personal File Carts,208.56,6
Nigeria,Office Supplies,Xerox 232,32.4,5
Nigeria,Furniture,Novimex Turbo Task Chair,319.41,5
New Zealand,Office Supplies,"Array Parchment Paper, Assorted Colors",14.56,2
Argentina,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2
Australia,Office Supplies,Plastic Binding Combs,48.48,4
Egypt,Office Supplies,Prang Dustless Chalk Sticks,1.68,1
Egypt,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2
Argentina,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6
South Africa,Office Supplies,Xerox 1943,146.73,3
Australia,Furniture,Luxo Economy Swing Arm Lamp,79.76,4
Australia,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.115,5
Chile,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8
New Zealand,Technology,netTALK DUO VoIP Telephone Service,167.968,4
Australia,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2
Chile,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1
New Zealand,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3
Chile,Furniture,High-Back Leather Manager's Chair,831.936,8
Chile,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2
South Africa,Office Supplies,Safco Industrial Wire Shelving System,72.784,1
Brazil,Office Supplies,Economy Binders,1.248,3
Australia,Furniture,"6"" Cubicle Wall Clock, Black",9.708,3
Australia,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3
Egypt,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5
Nigeria,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1
Egypt,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3
Australia,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5
New Zealand,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1
South Africa,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7
New Zealand,Office Supplies,Safco Industrial Wire Shelving,230.376,3
Australia,Furniture,Novimex Swivel Fabric Task Chair,301.96,2
Chile,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1
Egypt,Office Supplies,Avery 511,6.16,2
Egypt,Office Supplies,Eldon Portable Mobile Manager,158.368,7
South Africa,Office Supplies,Turquoise Lead Holder with Pocket Clip,20.1,3
New Zealand,Technology,Panasonic Kx-TS550,73.584,2
Chile,Office Supplies,Xerox 1995,6.48,1
Argentina,Office Supplies,Xerox 1999,12.96,2
Chile,Furniture,"Seth Thomas 13 1/2"" Wall Clock",53.34,3
Egypt,Office Supplies,Ibico Standard Transparent Covers,32.96,2
Chile,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,5.682,1
Brazil,Furniture,9-3/4 Diameter Round Wall Clock,96.53,7
Nigeria,Office Supplies,Trimflex Flexible Post Binders,51.312,3
Brazil,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,77.88,6
Australia,Office Supplies,Avery Personal Creations Heavyweight Cards,64.624,7
Nigeria,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3
New Zealand,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,1.788,3
Chile,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4
Egypt,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6
Argentina,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3
Brazil,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3
Brazil,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8
Chile,Technology,Speck Products Candyshell Flip Case,27.992,1
Nigeria,Office Supplies,Newell Chalk Holder,3.304,1
Argentina,Technology,Logitech Gaming G510s - Keyboard,339.96,5
New Zealand,Furniture,Magnifier Swing Arm Lamp,41.96,2
Argentina,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2
South Africa,Office Supplies,"Avery Durable Plastic 1"" Binders",27.24,6
Chile,Office Supplies,"OIC Colored Binder Clips, Assorted Sizes",40.096,14
South Africa,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2
Argentina,Office Supplies,Xerox 1921,23.976,3
Australia,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6
Chile,Furniture,Hon Racetrack Conference Tables,787.53,3
Brazil,Office Supplies,GBC DocuBind 300 Electric Binding Machine,157.794,1
New Zealand,Furniture,Artistic Insta-Plaque,47.04,3
Chile,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4
New Zealand,Office Supplies,"Companion Letter/Legal File, Black",226.56,6
Nigeria,Office Supplies,Globe Weis Peel & Seel First Class Envelopes,115.02,9
Chile,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7
Australia,Furniture,Global Deluxe High-Back Manager's Chair,600.558,3
Argentina,Furniture,Bevis 44 x 96 Conference Tables,617.7,6
Nigeria,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",2.388,2
New Zealand,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7
Argentina,Furniture,"Global Task Chair, Black",81.424,2
Australia,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3
Brazil,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5
Egypt,Office Supplies,Xerox 1916,78.304,2
Brazil,Office Supplies,Staples,21.456,9
Australia,Office Supplies,Xerox 195,20.04,3
Argentina,Office Supplies,Xerox 1880,35.44,1
South Africa,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",11.52,4
Argentina,Office Supplies,Ideal Clamps,4.02,2
Chile,Office Supplies,GBC Wire Binding Strips,76.176,3
South Africa,Office Supplies,Fiskars Softgrip Scissors,65.88,6
South Africa,Furniture,Longer-Life Soft White Bulbs,43.12,14
South Africa,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2
Argentina,Office Supplies,Newell 343,8.82,3
South Africa,Office Supplies,Convenience Packs of Business Envelopes,10.86,3
South Africa,Office Supplies,Xerox 1911,143.7,3
Argentina,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3
Nigeria,Office Supplies,Safco Industrial Wire Shelving,671.93,7
Egypt,Furniture,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4
Egypt,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11
Chile,Technology,Anker Astro 15000mAh USB Portable Charger,149.97,3
Australia,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8
Egypt,Office Supplies,GBC Prestige Therm-A-Bind Covers,171.55,5
Brazil,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5
Brazil,Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2
Chile,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7
Egypt,Office Supplies,Xerox 1883,105.52,4
Chile,Office Supplies,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6
Argentina,Office Supplies,Newell 311,6.63,3
New Zealand,Furniture,Global Deluxe High-Back Manager's Chair,457.568,2
Argentina,Office Supplies,Avery 519,14.62,2
Nigeria,Technology,Avaya 5420 Digital phone,944.93,7
Argentina,Office Supplies,Xerox 1920,5.98,1
Nigeria,Technology,Lenovo 17-Key USB Numeric Keypad,54.384,2
Egypt,Office Supplies,Staple envelope,28.4,5
Argentina,Office Supplies,Wilson Jones International Size A4 Ring Binders,27.68,2
Brazil,Office Supplies,BIC Brite Liner Highlighters,9.936,3
South Africa,Technology,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8
New Zealand,Office Supplies,Space Solutions HD Industrial Steel Shelving.,275.928,3
